Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 04/27  14:00:00,0.761379906978183,1.67605436899224,0.000000000000000E+000,0.949896958981770,0.000000000000000E+000,2.615378348263549E-002,2.615378348263549E-002,2.615378348263549E-002,6.526438462805398E-002,1.421944655947315E-002,0.299430055599500,0.339200223018920,0.702794074137912 
 04/27  15:00:00,0.777402782491945,1.27364154003351,0.000000000000000E+000,0.538704038632389,0.000000000000000E+000,1.483229170742423E-002,1.483229170742423E-002,1.483229170742423E-002,6.526438462805398E-002,1.421944655947315E-002,0.307919222350081,0.358055423557315,0.710275462422760 
 04/27  16:00:00,0.890940773803854,1.22980800459299,0.000000000000000E+000,0.423499887155453,0.000000000000000E+000,1.166034299705218E-002,1.166034299705218E-002,1.166034299705218E-002,6.934340918976298E-002,1.510816208327000E-002,0.354200033750992,0.423516812093179,0.777137247676479 
 04/27  17:00:00,1.10427997603437,1.68720673783396,0.000000000000000E+000,0.733342857515267,0.000000000000000E+000,2.019133773683296E-002,2.019133773683296E-002,2.019133773683296E-002,9.381757327859858E-002,2.044045886860401E-002,0.438213351102789,0.514505241357947,0.918425935570150 
 04/27  18:00:00,1.22757967689590,1.67979382896968,0.000000000000000E+000,0.593459399765757,0.000000000000000E+000,1.633988665870262E-002,1.633988665870262E-002,1.633988665870262E-002,0.171318981436035,3.732604107180897E-002,0.396885327422791,0.558597402616962,1.04785951719259 
 04/27  19:00:00,1.35197908788759,1.97903335084996,0.000000000000000E+000,0.870518766584298,0.000000000000000E+000,2.396824110608991E-002,2.396824110608991E-002,2.396824110608991E-002,0.338558963388235,7.376337208365046E-002,0.321994134489507,0.576582363130508,1.06880090929187 
 04/27  20:00:00,1.61095878349485,2.34242177307511,0.000000000000000E+000,1.30918757357619,0.000000000000000E+000,3.604623429279325E-002,3.604623429279325E-002,3.604623429279325E-002,0.554747273518103,0.120865296666160,0.285783468298347,0.596404497029846,0.992155221260056 
 04/27  21:00:00,1.64723692075074,2.67507446254257,0.000000000000000E+000,1.73679740725310,0.000000000000000E+000,4.781973761784838E-002,4.781973761784838E-002,4.781973761784838E-002,0.599616518619031,0.130641161964096,0.269566832227902,0.582480656632261,0.898157119344112 
 04/27  22:00:00,1.35235848998877,3.21119847795448,0.000000000000000E+000,2.42932389141455,0.000000000000000E+000,6.688726652347263E-002,6.688726652347263E-002,6.688726652347263E-002,0.448692701787994,9.775868940488895E-002,0.217845457523059,0.504062361059758,0.747155923511522 
 04/27  23:00:00,1.07376557054946,4.00531355548414,0.000000000000000E+000,3.39144663888708,0.000000000000000E+000,9.337766612227563E-002,9.337766612227563E-002,9.337766612227563E-002,0.310005799815561,6.754236523834896E-002,0.147706913176347,0.438020812507328,0.583697044446918 
 04/27  24:00:00,0.791100235153057,4.78335701425188,0.000000000000000E+000,4.34789132025241,0.000000000000000E+000,0.119711729909954,0.119711729909954,0.119711729909954,0.159081899391618,3.465989267914196E-002,9.822476913727689E-002,0.362309930345465,0.410510614320312 
 04/28  01:00:00,0.684097000489354,5.08846690644585,0.000000000000000E+000,4.73435666035858,0.000000000000000E+000,0.130352390176425,0.130352390176425,0.130352390176425,9.789657276243555E-002,2.132916892857149E-002,8.381484540687240E-002,0.333592009525450,0.331133191138513 
 04/28  02:00:00,0.636947145279050,5.38301992038374,0.000000000000000E+000,5.05132424135444,0.000000000000000E+000,0.139079548849790,0.139079548849790,0.139079548849790,6.526438462805398E-002,1.421944655947315E-002,7.154747547045819E-002,0.329724276081677,0.308985024717605 
 04/28  03:00:00,0.638645947485135,5.88991897218855,0.000000000000000E+000,5.55295235803264,0.000000000000000E+000,0.152891018639594,0.152891018639594,0.152891018639594,6.526438462805398E-002,1.421944655947315E-002,6.407608801926525E-002,0.325082995949147,0.314575640608739 
 04/28  04:00:00,0.647873955666908,6.37551165053357,0.000000000000000E+000,5.97734377837500,0.000000000000000E+000,0.164575908473772,0.164575908473772,0.164575908473772,6.526438462805398E-002,1.421944655947315E-002,7.389926005084047E-002,0.312802942265167,0.376622720634144 
 04/28  05:00:00,0.703568030664071,6.72957752509399,0.000000000000000E+000,6.05606152824126,0.000000000000000E+000,0.166743266698026,0.166743266698026,0.166743266698026,6.934340918976298E-002,1.510816208327000E-002,8.619823570287033E-002,0.349062943300542,0.649473339355586 
 04/28  06:00:00,0.867762898434986,7.35885290497209,0.000000000000000E+000,6.17208831713295,0.000000000000000E+000,0.169937865318608,0.169937865318608,0.169937865318608,0.114212654290690,2.488402738120598E-002,0.138308432905419,0.403307904849463,1.15898566140685 
 04/28  07:00:00,1.07276476611887,6.40839630991525,0.000000000000000E+000,5.07898206063629,0.000000000000000E+000,0.139841059464452,0.139841059464452,0.139841059464452,0.212109227053126,4.621319630977747E-002,0.213944392031827,0.428544865570085,1.29989705868968 
 04/28  08:00:00,0.983747778698129,5.67319754753377,0.000000000000000E+000,4.38401333742986,0.000000000000000E+000,0.120706287695703,0.120706287695703,0.120706287695703,0.171318981436035,3.732604107180897E-002,0.274974524459516,0.362309930345465,1.26422913042476 
 04/28  09:00:00,0.859792927912042,4.76262001766927,0.000000000000000E+000,3.58797536213516,0.000000000000000E+000,9.878874742677665E-002,9.878874742677665E-002,9.878874742677665E-002,8.158048287489020E-002,1.777430683338409E-002,0.336182328282564,0.308355048804828,1.15340586474235 
 04/28  10:00:00,0.844733699090580,3.98921273682255,0.000000000000000E+000,2.94609281050097,0.000000000000000E+000,8.111561233776934E-002,8.111561233776934E-002,8.111561233776934E-002,6.526438462805398E-002,1.421944655947315E-002,0.351415192863779,0.315607049011904,1.02138163433526 
 04/28  11:00:00,0.835909551497756,2.99549512273307,0.000000000000000E+000,2.07075851677548,0.000000000000000E+000,5.701478395153900E-002,5.701478395153900E-002,5.701478395153900E-002,6.526438462805398E-002,1.421944655947315E-002,0.366595180321093,0.315703742347997,0.902991653955348 
 04/28  12:00:00,0.803634426621230,2.27628195229941,0.000000000000000E+000,1.44375629738223,0.000000000000000E+000,3.975135328773163E-002,3.975135328773163E-002,3.975135328773163E-002,6.526438462805398E-002,1.421944655947315E-002,0.356901619593564,0.310385608862808,0.811147003790934 
 04/28  13:00:00,0.767463981981283,1.69564614166449,0.000000000000000E+000,0.917097884474648,0.000000000000000E+000,2.525071722373345E-002,2.525071722373345E-002,2.525071722373345E-002,6.526438462805398E-002,1.421944655947315E-002,0.324498850711145,0.321118569169280,0.756430344295666 
 04/28  14:00:00,0.746254482516039,1.12580664708436,0.000000000000000E+000,0.400546433485618,0.000000000000000E+000,1.102835902049221E-002,1.102835902049221E-002,1.102835902049221E-002,6.526438462805398E-002,1.421944655947315E-002,0.299430055599500,0.339200223018920,0.701896877726183 
 04/28  15:00:00,0.763938933241622,0.783588988158689,0.000000000000000E+000,4.970138754128822E-002,0.000000000000000E+000,1.368442457100609E-003,1.368442457100609E-003,1.368442457100609E-003,6.526438462805398E-002,1.421944655947315E-002,0.307919222350081,0.358055423557315,0.709225561639043 
 04/28  16:00:00,0.879280430806801,0.805234282823986,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,6.934340918976298E-002,1.510816208327000E-002,0.354200033750992,0.423516812093179,0.776063413062925 
