Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 05/28  04:00:00,0.521525402962,2.15452293313,0.0,1.88644442275,0.0,0.051940011512,0.051940011512,0.051940011512,0.0637395321407,0.0138872200537,0.0614251486328,0.313421490622,0.246490754651
 05/28  05:00:00,0.572931097976,2.37321235937,0.0,2.10316678444,0.0,0.0579070900143,0.0579070900143,0.0579070900143,0.0672806251545,0.0146587321777,0.0662194570756,0.349753193554,0.245955374573
 05/28  06:00:00,0.678332889647,2.20547803528,0.0,1.93269507523,0.0,0.0532134438978,0.0532134438978,0.0532134438978,0.09560931075,0.0208308328125,0.0874618810474,0.40410542114,0.244949102521
 05/28  07:00:00,0.809647879854,1.71837132984,0.0,1.4442680891,0.0,0.0397654445949,0.0397654445949,0.0397654445949,0.15934885125,0.0347180546875,0.114311242941,0.42939228638,0.244527681741
 05/28  08:00:00,0.673267733291,1.22085523813,0.0,0.950981293391,0.0,0.0261836387707,0.0261836387707,0.0261836387707,0.12039692841,0.0262314231445,0.120317367275,0.363026375692,0.244869517944
 05/28  09:00:00,0.539645260259,0.699447477755,0.0,0.432887927397,0.0,0.0119188265825,0.0119188265825,0.0119188265825,0.0637395321407,0.0138872200537,0.124022879752,0.30896480173,0.245278761178
 05/28  10:00:00,0.512343355475,0.267286144807,0.0,0.0,0.0,0.0,0.0,0.0,0.0531162865364,0.0115726836817,0.114311242941,0.316231142316,0.2455048667
 05/28  11:00:00,0.522042438512,0.267608510858,0.0,0.0,0.0,0.0,0.0,0.0,0.0531162865364,0.0115726836817,0.123913441437,0.316328026857,0.245820559566
 05/28  12:00:00,0.529138805437,0.267130772524,0.0,0.0,0.0,0.0,0.0,0.0,0.0531162865364,0.0115726836817,0.136338458125,0.310999377094,0.245709846445
 05/28  13:00:00,0.525482900955,0.268609432683,0.0,0.0,0.0,0.0,0.0,0.0,0.0531162865364,0.0115726836817,0.121928369576,0.321753561161,0.246447782992
 05/28  14:00:00,0.539922635941,0.269553859178,0.0,0.0,0.0,0.0,0.0,0.0,0.0531162865364,0.0115726836817,0.118250695366,0.339870970357,0.246144323762
 05/28  15:00:00,0.576902884224,0.270454504273,0.0,0.0,0.0,0.0,0.0,0.0,0.0531162865364,0.0115726836817,0.136338458125,0.358763455881,0.245743697647
